word,lemma,is_loanword,donor_language,donor_family,source_word,semantic_domain,confidence
летать,летать,0,Slavic,Indo-European/Slavic,,action,0.03
плыть,плыть,0,Slavic,Indo-European/Slavic,,action,0.03
нести,нести,0,Slavic,Indo-European/Slavic,,action,0.03
тянуть,тянуть,0,Slavic,Indo-European/Slavic,,action,0.03
открыть,открыть,0,Slavic,Indo-European/Slavic,,action,0.03
найти,найти,0,Slavic,Indo-European/Slavic,,action,0.03
помнить,помнить,0,Slavic,Indo-European/Slavic,,action,0.03
забыть,забыть,0,Slavic,Indo-European/Slavic,,action,0.03
понять,понять,0,Slavic,Indo-European/Slavic,,action,0.03
спросить,спросить,0,Slavic,Indo-European/Slavic,,action,0.03
помочь,помочь,0,Slavic,Indo-European/Slavic,,action,0.03
ждать,ждать,0,Slavic,Indo-European/Slavic,,action,0.03
умереть,умереть,0,Slavic,Indo-European/Slavic,,action,0.03
родиться,родиться,0,Slavic,Indo-European/Slavic,,action,0.03
абессивный,абессивный,1,English,Indo-European/Germanic,,,0.88
абилка,абилка,1,English,Indo-European/Germanic,,,0.88
аболиционизм,аболиционизм,1,English,Indo-European/Germanic,,,0.88
аболиционист,аболиционист,1,English,Indo-European/Germanic,,,0.88
аборт,аборт,1,English,Indo-European/Germanic,,,0.88
абс-пластик,абс-пластик,1,English,Indo-European/Germanic,,,0.88
абсцизовый,абсцизовый,1,English,Indo-European/Germanic,,,0.88
абуз,абуз,1,English,Indo-European/Germanic,,,0.88
абьюз,абьюз,1,English,Indo-European/Germanic,,,0.88
абьюзер,абьюзер,1,English,Indo-European/Germanic,,,0.88
аватар,аватар,1,English,Indo-European/Germanic,,,0.88
авиалайнер,авиалайнер,1,English,Indo-European/Germanic,,,0.88
авокадо,авокадо,1,English,Indo-European/Germanic,,,0.88
авраам,авраам,1,English,Indo-European/Germanic,,,0.88
автобус,автобус,1,English,Indo-European/Germanic,,,0.88
авторитетный,авторитетный,1,English,Indo-European/Germanic,,,0.88
автосин,автосин,1,English,Indo-European/Germanic,,,0.88
автостоп,автостоп,1,English,Indo-European/Germanic,,,0.88
агностик,агностик,1,English,Indo-European/Germanic,,,0.88
агностицизм,агностицизм,1,English,Indo-European/Germanic,,,0.88
агностический,агностический,1,English,Indo-European/Germanic,,,0.88
агрить,агрить,1,English,Indo-European/Germanic,,,0.88
агриться,агриться,1,English,Indo-European/Germanic,,,0.88
адамс,адамс,1,English,Indo-European/Germanic,,,0.88
адаптер,адаптер,1,English,Indo-European/Germanic,,,0.88
адвентизм,адвентизм,1,English,Indo-European/Germanic,,,0.88
аддон,аддон,1,English,Indo-European/Germanic,,,0.88
адессивный,адессивный,1,English,Indo-European/Germanic,,,0.88
адреналин,адреналин,1,English,Indo-European/Germanic,,,0.88
айпи,айпить,1,English,Indo-European/Germanic,,,0.88
айринг,айринг,1,English,Indo-European/Germanic,,,0.88
айсинг,айсинг,1,English,Indo-European/Germanic,,,0.88
айтишник,айтишник,1,English,Indo-European/Germanic,,,0.88
айфон,айфон,1,English,Indo-European/Germanic,,,0.88
аквабайк,аквабайк,1,English,Indo-European/Germanic,,,0.88
акваланг,акваланг,1,English,Indo-European/Germanic,,,0.88
аквафреш,аквафреш,1,English,Indo-European/Germanic,,,0.88
аккаунт,аккаунт,1,English,Indo-European/Germanic,,,0.88
акселератор,акселератор,1,English,Indo-European/Germanic,,,0.88
аллативный,аллативный,1,English,Indo-European/Germanic,,,0.88
алло,алло,1,English,Indo-European/Germanic,,,0.88
альтушка,альтушка,1,English,Indo-European/Germanic,,,0.88
альфонсо,альфонсо,1,English,Indo-European/Germanic,,,0.88
американо,америкать,1,English,Indo-European/Germanic,,,0.88
аммоний,аммоний,1,English,Indo-European/Germanic,,,0.88
андаманский,андаманский,1,English,Indo-European/Germanic,,,0.88
андеграунд,андеграунд,1,English,Indo-European/Germanic,,,0.88
андерграунд,андерграунд,1,English,Indo-European/Germanic,,,0.88
аниматроника,аниматроника,1,English,Indo-European/Germanic,,,0.88
аниме,аниме,1,English,Indo-European/Germanic,,,0.88
анкоридж,анкоридж,1,English,Indo-European/Germanic,,,0.88
аннаполис,аннаполис,1,English,Indo-European/Germanic,,,0.88
анскилл,анскилла,1,English,Indo-European/Germanic,,,0.88
антиваксер,антиваксера,1,English,Indo-European/Germanic,,,0.88
антиоксидант,антиоксидант,1,English,Indo-European/Germanic,,,0.88
антипиретик,антипиретик,1,English,Indo-European/Germanic,,,0.88
антифриз,антифриз,1,English,Indo-European/Germanic,,,0.88
антициклон,антициклон,1,English,Indo-European/Germanic,,,0.88
апатеизм,апатеизм,1,English,Indo-European/Germanic,,,0.88
апать,апать,1,English,Indo-European/Germanic,,,0.88
апикальный,апикальный,1,English,Indo-European/Germanic,,,0.88
апликант,апликант,1,English,Indo-European/Germanic,,,0.88
апнуть,апнуть,1,English,Indo-European/Germanic,,,0.88
апперкот,апперкот,1,English,Indo-European/Germanic,,,0.88
апплет,апплет,1,English,Indo-European/Germanic,,,0.88
аппликант,аппликант,1,English,Indo-European/Germanic,,,0.88
аппойнтмент,аппойнтмент,1,English,Indo-European/Germanic,,,0.88
арахидоновый,арахидоновый,1,English,Indo-European/Germanic,,,0.88
аренби,аренби,1,English,Indo-European/Germanic,,,0.88
армрестлинг,армрестлинг,1,English,Indo-European/Germanic,,,0.88
арность,арность,1,English,Indo-European/Germanic,,,0.88
арт-дилер,арт-дилер,1,English,Indo-European/Germanic,,,0.88
арт-директор,арт-директор,1,English,Indo-European/Germanic,,,0.88
асеан,асеана,1,English,Indo-European/Germanic,,,0.88
астронавт,астронавт,1,English,Indo-European/Germanic,,,0.88
атари,атари,1,English,Indo-European/Germanic,,,0.88
аткинсон,аткинсон,1,English,Indo-European/Germanic,,,0.88
атланта,атланта,1,English,Indo-European/Germanic,,,0.88
аутинг,аутинг,1,English,Indo-European/Germanic,,,0.88
аутсайдер,аутсайдер,1,English,Indo-European/Germanic,,,0.88
ауч,ауч,1,English,Indo-European/Germanic,,,0.88
афро,афро,1,English,Indo-European/Germanic,,,0.88
афтершок,афтершок,1,English,Indo-European/Germanic,,,0.88
ацетилхолинэстераза,ацетилхолинэстераза,1,English,Indo-European/Germanic,,,0.88
аэробика,аэробика,1,English,Indo-European/Germanic,,,0.88
аэроплан,аэроплан,1,English,Indo-European/Germanic,,,0.88
аэропорт,аэропорт,1,English,Indo-European/Germanic,,,0.88
аэростат,аэростат,1,English,Indo-European/Germanic,,,0.88
баббит,баббит,1,English,Indo-European/Germanic,,,0.88
база,база,1,English,Indo-European/Germanic,,,0.88
базука,базука,1,English,Indo-European/Germanic,,,0.88
бай,бай,1,English,Indo-European/Germanic,,,0.88
бай-бай,бай-бай,1,English,Indo-European/Germanic,,,0.88
байден,байден,1,English,Indo-European/Germanic,,,0.88
байк,байк,1,English,Indo-European/Germanic,,,0.88
байт,байт,1,English,Indo-European/Germanic,,,0.88
байтный,байтный,1,English,Indo-European/Germanic,,,0.88
байтовый,байтовый,1,English,Indo-European/Germanic,,,0.88
бакс,бакс,1,English,Indo-European/Germanic,,,0.88
балкер,балкер,1,English,Indo-European/Germanic,,,0.88
бампер,бампер,1,English,Indo-European/Germanic,,,0.88
бан,бан,1,English,Indo-European/Germanic,,,0.88
бандана,бандать,1,English,Indo-European/Germanic,,,0.88
бандерлог,бандерлог,1,English,Indo-European/Germanic,,,0.88
банджо,банджо,1,English,Indo-European/Germanic,,,0.88
баннер,баннер,1,English,Indo-European/Germanic,,,0.88
банши,банша,1,English,Indo-European/Germanic,,,0.88
баньши,баньша,1,English,Indo-European/Germanic,,,0.88
баптист,баптист,1,English,Indo-European/Germanic,,,0.88
бар,бар,1,English,Indo-European/Germanic,,,0.88
барбекю,барбекю,1,English,Indo-European/Germanic,,,0.88
барбершоп,барбершоп,1,English,Indo-European/Germanic,,,0.88
бард,бард,1,English,Indo-European/Germanic,,,0.88
бармен,бармен,1,English,Indo-European/Germanic,,,0.88
бартер,бартер,1,English,Indo-European/Germanic,,,0.88
басенджи,басенджи,1,English,Indo-European/Germanic,,,0.88
бассет-хаунд,бассет-хаунд,1,English,Indo-European/Germanic,,,0.88
батон-руж,батон-руж,1,English,Indo-European/Germanic,,,0.88
баттерфляй,баттерфляй,1,English,Indo-European/Germanic,,,0.88
баттл,баттл,1,English,Indo-European/Germanic,,,0.88
беби,бести,1,English,Indo-European/Germanic,,,0.88
бебиситтер,бебиситтер,1,English,Indo-European/Germanic,,,0.88
беван,беван,1,English,Indo-European/Germanic,,,0.88
бедж,бедж,1,English,Indo-European/Germanic,,,0.88
бедлам,бедлам,1,English,Indo-European/Germanic,,,0.88
безос,безос,1,English,Indo-European/Germanic,,,0.88
бейгл,бейглый,1,English,Indo-European/Germanic,,,0.88
бейтсон,бейтсон,1,English,Indo-European/Germanic,,,0.88
бекон,бекон,1,English,Indo-European/Germanic,,,0.88
бел,бел,1,English,Indo-European/Germanic,,,0.88
беннион,беннион,1,English,Indo-European/Germanic,,,0.88
берданка,берданка,1,English,Indo-European/Germanic,,,0.88
берни,бернуть,1,English,Indo-European/Germanic,,,0.88
бестселлер,бестселлер,1,English,Indo-European/Germanic,,,0.88
беттер,беттереть,1,English,Indo-European/Germanic,,,0.88
би,би,1,English,Indo-European/Germanic,,,0.88
биг-мэк,биг-мэк,1,English,Indo-European/Germanic,,,0.88
бигфут,бигфут,1,English,Indo-European/Germanic,,,0.88
бизнес-план,бизнес-план,1,English,Indo-European/Germanic,,,0.88
бизнесвумен,бизнесвумен,1,English,Indo-European/Germanic,,,0.88
бизнесмен,бизнесмен,1,English,Indo-European/Germanic,,,0.88
бикамерализм,бикамерализм,1,English,Indo-European/Germanic,,,0.88
бикини,бикини,1,English,Indo-European/Germanic,,,0.88
билборд,билборд,1,English,Indo-European/Germanic,,,0.88
билсон,билсон,1,English,Indo-European/Germanic,,,0.88
бинго,бинго,1,English,Indo-European/Germanic,,,0.88
бисмарк,бисмарк,1,English,Indo-European/Germanic,,,0.88
биткоин,биткоина,1,English,Indo-European/Germanic,,,0.88
битловский,битловский,1,English,Indo-European/Germanic,,,0.88
битловый,битловыя,1,English,Indo-European/Germanic,,,0.88
битломания,битломание,1,English,Indo-European/Germanic,,,0.88
битник,битник,1,English,Indo-European/Germanic,,,0.88
битный,битный,1,English,Indo-European/Germanic,,,0.88
битовый,битовый,1,English,Indo-European/Germanic,,,0.88
бич,бич,1,English,Indo-European/Germanic,,,0.88
бланк,бланк,1,English,Indo-European/Germanic,,,0.88
блейзер,блейзер,1,English,Indo-European/Germanic,,,0.88
блек-джек,блек-джек,1,English,Indo-European/Germanic,,,0.88
блендер,блендер,1,English,Indo-European/Germanic,,,0.88
блеф,блеф,1,English,Indo-European/Germanic,,,0.88
блогосфера,блогосфера,1,English,Indo-European/Germanic,,,0.88
блок,блок,1,English,Indo-European/Germanic,,,0.88
блокбастер,блокбастер,1,English,Indo-European/Germanic,,,0.88
блэкаут,блэкаут,1,English,Indo-European/Germanic,,,0.88
блэкджек,блэкджек,1,English,Indo-European/Germanic,,,0.88
блэкман,блэкман,1,English,Indo-European/Germanic,,,0.88
блэкфейс,блэкфейс,1,English,Indo-European/Germanic,,,0.88
блюз,блюз,1,English,Indo-European/Germanic,,,0.88
блютус,блютус,1,English,Indo-European/Germanic,,,0.88
боб,боб,1,English,Indo-European/Germanic,,,0.88
бобслей,бобслей,1,English,Indo-European/Germanic,,,0.88
бобсон,бобсон,1,English,Indo-European/Germanic,,,0.88
боггс,боггс,1,English,Indo-European/Germanic,,,0.88
боди,бодить,1,English,Indo-European/Germanic,,,0.88
бодибилдинг,бодибилдинг,1,English,Indo-European/Germanic,,,0.88
бозон,бозон,1,English,Indo-European/Germanic,,,0.88
бой,бой,1,English,Indo-European/Germanic,,,0.88
бойкот,бойкот,1,English,Indo-European/Germanic,,,0.88
бойлер,бойлер,1,English,Indo-European/Germanic,,,0.88
бойскаут,бойскаут,1,English,Indo-European/Germanic,,,0.88
бойфренд,бойфренд,1,English,Indo-European/Germanic,,,0.88
бокчой,бокча,1,English,Indo-European/Germanic,,,0.88
боллз,боллзти,1,English,Indo-European/Germanic,,,0.88
болливуд,болливуд,1,English,Indo-European/Germanic,,,0.88
болт,болт,1,English,Indo-European/Germanic,,,0.88
бон,бон,1,English,Indo-European/Germanic,,,0.88
бордер-колли,бордер-колли,1,English,Indo-European/Germanic,,,0.88
босс,босс,1,English,Indo-European/Germanic,,,0.88
бостон,бостон,1,English,Indo-European/Germanic,,,0.88
боулз,боулзти,1,English,Indo-European/Germanic,,,0.88
боулинг,боулинг,1,English,Indo-European/Germanic,,,0.88
брандмауэр,брандмауэр,1,English,Indo-European/Germanic,,,0.88
браун,браун,1,English,Indo-European/Germanic,,,0.88
браунли,браунли,1,English,Indo-European/Germanic,,,0.88
брейккор,брейккор,1,English,Indo-European/Germanic,,,0.88
брейнсторминг,брейнсторминг,1,English,Indo-European/Germanic,,,0.88
брекет,брекет,1,English,Indo-European/Germanic,,,0.88
брекинридж,брекинридж,1,English,Indo-European/Germanic,,,0.88
брендбук,брендбук,1,English,Indo-European/Germanic,,,0.88
бренди,бренди,1,English,Indo-European/Germanic,,,0.88
бриг,бриг,1,English,Indo-European/Germanic,,,0.88
бриз,бриз,1,English,Indo-European/Germanic,,,0.88
брикс,брикс,1,English,Indo-European/Germanic,,,0.88
бро,бро,1,English,Indo-European/Germanic,,,0.88
буги-вуги,буги-вуги,1,English,Indo-European/Germanic,,,0.88
буккер,буккер,1,English,Indo-European/Germanic,,,0.88
буклет,буклет,1,English,Indo-European/Germanic,,,0.88
букмекер,букмекер,1,English,Indo-European/Germanic,,,0.88
буллинг,буллинга,1,English,Indo-European/Germanic,,,0.88
бульбоуретральный,бульбоуретральный,1,English,Indo-European/Germanic,,,0.88
бульдог,бульдог,1,English,Indo-European/Germanic,,,0.88
бульдозер,бульдозер,1,English,Indo-European/Germanic,,,0.88
бум,бум,1,English,Indo-European/Germanic,,,0.88
бунгало,бунгало,1,English,Indo-European/Germanic,,,0.88
бути-дэнс,бути-дэнс,1,English,Indo-European/Germanic,,,0.88
бути-шейк,бути-шейк,1,English,Indo-European/Germanic,,,0.88
буттиджич,буттиджич,1,English,Indo-European/Germanic,,,0.88
буфер,буфер,1,English,Indo-European/Germanic,,,0.88
бушель,бушель,1,English,Indo-European/Germanic,,,0.88
бэби-бокс,бэби-бокс,1,English,Indo-European/Germanic,,,0.88
бэби-бум,бэби-бум,1,English,Indo-European/Germanic,,,0.88
бэйтс,бэйтс,1,English,Indo-European/Germanic,,,0.88
бэкграунд,бэкграунд,1,English,Indo-European/Germanic,,,0.88
бэкдор,бэкдора,1,English,Indo-European/Germanic,,,0.88
бюджет,бюджет,1,English,Indo-European/Germanic,,,0.88
вагон,вагон,1,English,Indo-European/Germanic,,,0.88
вайб,вайба,1,English,Indo-European/Germanic,,,0.88
вайфай,вайфай,1,English,Indo-European/Germanic,,,0.88
вайфу,вайф,1,English,Indo-European/Germanic,,,0.88
валентный,валентный,1,English,Indo-European/Germanic,,,0.88
валлаби,валлаби,1,English,Indo-European/Germanic,,,0.88
ватер,ватер,1,English,Indo-European/Germanic,,,0.88
ватерпруф,ватерпруф,1,English,Indo-European/Germanic,,,0.88
ватман,ватман,1,English,Indo-European/Germanic,,,0.88
ватт,ватт,1,English,Indo-European/Germanic,,,0.88
вау,вау,1,English,Indo-European/Germanic,,,0.88
ваучер,ваучер,1,English,Indo-European/Germanic,,,0.88
ваха,ваха,1,English,Indo-European/Germanic,,,0.88
вашингтон,вашингтон,1,English,Indo-European/Germanic,,,0.88
веб,веб,1,English,Indo-European/Germanic,,,0.88
веб-сайт,веб-сайт,1,English,Indo-European/Germanic,,,0.88
веб-страница,веб-страница,1,English,Indo-European/Germanic,,,0.88
веган,вегана,1,English,Indo-European/Germanic,,,0.88
вейп,вейп,1,English,Indo-European/Germanic,,,0.88
вейпить,вейпить,1,English,Indo-European/Germanic,,,0.88
вендиго,вендиго,1,English,Indo-European/Germanic,,,0.88
верея,верея,1,English,Indo-European/Germanic,,,0.88
вестерн,вестерн,1,English,Indo-European/Germanic,,,0.88
видеоблог,видеоблог,1,English,Indo-European/Germanic,,,0.88
видеокассета,видеокассета,1,English,Indo-European/Germanic,,,0.88
виджет,виджет,1,English,Indo-European/Germanic,,,0.88
википедия,википедия,1,English,Indo-European/Germanic,,,0.88
викторсон,викторсон,1,English,Indo-European/Germanic,,,0.88
виндзор,виндзора,1,English,Indo-European/Germanic,,,0.88
виндсёрф,виндсёрф,1,English,Indo-European/Germanic,,,0.88
виндсёрфинг,виндсёрфинг,1,English,Indo-European/Germanic,,,0.88
винни-пух,винни-пух,1,English,Indo-European/Germanic,,,0.88
виски,виски,1,English,Indo-European/Germanic,,,0.88
витамин,витамин,1,English,Indo-European/Germanic,,,0.88
войс,войс,1,English,Indo-European/Germanic,,,0.88
вокзал,вокзал,1,English,Indo-European/Germanic,,,0.88
воки-токи,вок-ток,1,English,Indo-European/Germanic,,,0.88
волейбол,волейбол,1,English,Indo-European/Germanic,,,0.88
вор,вор,1,English,Indo-European/Germanic,,,0.88
воркать,воркатя,1,English,Indo-European/Germanic,,,0.88
вувузела,вувузесть,1,English,Indo-European/Germanic,,,0.88
вуду,вуд,1,English,Indo-European/Germanic,,,0.88
выгорание,выгорание,1,English,Indo-European/Germanic,,,0.88
гаджет,гаджет,1,English,Indo-European/Germanic,,,0.88
галлон,галлон,1,English,Indo-European/Germanic,,,0.88
гамбургер,гамбургер,1,English,Indo-European/Germanic,,,0.88
гангстер,гангстер,1,English,Indo-European/Germanic,,,0.88
гандбол,гандбол,1,English,Indo-European/Germanic,,,0.88
ганнибал,ганнибал,1,English,Indo-European/Germanic,,,0.88
гарвард,гарвард,1,English,Indo-European/Germanic,,,0.88
гармоника,гармоника,1,English,Indo-European/Germanic,,,0.88
гармонь,гармонь,1,English,Indo-European/Germanic,,,0.88
гаррисберг,гаррисберг,1,English,Indo-European/Germanic,,,0.88
гарсия,гарсия,1,English,Indo-European/Germanic,,,0.88
гарфилд,гарфилд,1,English,Indo-European/Germanic,,,0.88
гей,гей,1,English,Indo-European/Germanic,,,0.88
гей-бар,гей-бар,1,English,Indo-European/Germanic,,,0.88
гей-движение,гей-движение,1,English,Indo-European/Germanic,,,0.88
гей-клуб,гей-клуб,1,English,Indo-European/Germanic,,,0.88
геймплей,геймплей,1,English,Indo-European/Germanic,,,0.88
гендерный,гендерный,1,English,Indo-European/Germanic,,,0.88
генри,генри,1,English,Indo-European/Germanic,,,0.88
генрисон,генрисон,1,English,Indo-European/Germanic,,,0.88
гёрлфренд,гёрлфренд,1,English,Indo-European/Germanic,,,0.88
гетеросексуал,гетеросексуал,1,English,Indo-European/Germanic,,,0.88
гидрофойл,гидрофойло,1,English,Indo-European/Germanic,,,0.88
гипермаркет,гипермаркет,1,English,Indo-European/Germanic,,,0.88
гиперссылка,гиперссылка,1,English,Indo-European/Germanic,,,0.88
гифка,гифка,1,English,Indo-European/Germanic,,,0.88
гичка,гичка,1,English,Indo-European/Germanic,,,0.88
гликопротеин,гликопротеин,1,English,Indo-European/Germanic,,,0.88
гну,гну,1,English,Indo-European/Germanic,,,0.88
гобой,гобой,1,English,Indo-European/Germanic,,,0.88
годвинсон,годвинсон,1,English,Indo-European/Germanic,,,0.88
гол,гол,1,English,Indo-European/Germanic,,,0.88
голдсмит,голдсмит,1,English,Indo-European/Germanic,,,0.88
гольф,гольф,1,English,Indo-European/Germanic,,,0.88
гонконг,гонконг,1,English,Indo-European/Germanic,,,0.88
гордон,гордон,1,English,Indo-European/Germanic,,,0.88
гормональный,гормональный,1,English,Indo-European/Germanic,,,0.88
граммар-наци,граммар-наци,1,English,Indo-European/Germanic,,,0.88
грант,грант,1,English,Indo-European/Germanic,,,0.88
граф,граф,1,English,Indo-European/Germanic,,,0.88
грегарина,грегарин,1,English,Indo-European/Germanic,,,0.88
грейдер,грейдер,1,English,Indo-European/Germanic,,,0.88
грейпфрут,грейпфрут,1,English,Indo-European/Germanic,,,0.88
грейхаунд,грейхаунд,1,English,Indo-European/Germanic,,,0.88
гризли,гризли,1,English,Indo-European/Germanic,,,0.88
а-ля,а-ля,1,French,Indo-European/Romance,,,0.88
аба-ван,аба-ван,1,French,Indo-European/Romance,,,0.88
аба-вуа,аба-вуа,1,French,Indo-European/Romance,,,0.88
абажур,абажур,1,French,Indo-European/Romance,,,0.88
абак,абак,1,French,Indo-European/Romance,,,0.88
абакост,абакоста,1,French,Indo-European/Romance,,,0.88
абандон,абандон,1,French,Indo-European/Romance,,,0.88
абдоминальный,абдоминальный,1,French,Indo-European/Romance,,,0.88
аберрация,аберрация,1,French,Indo-European/Romance,,,0.88
абес,абес,1,French,Indo-European/Romance,,,0.88
абецедарий,абецедарий,1,French,Indo-European/Romance,,,0.88
абиссаль,абиссаль,1,French,Indo-European/Romance,,,0.88
абонемент,абонемент,1,French,Indo-European/Romance,,,0.88
абордаж,абордаж,1,French,Indo-European/Romance,,,0.88
абразив,абразив,1,French,Indo-European/Romance,,,0.88
абреже,абреже,1,French,Indo-European/Romance,,,0.88
абсанс,абсанс,1,French,Indo-European/Romance,,,0.88
абсент,абсент,1,French,Indo-European/Romance,,,0.88
абсолютизм,абсолютизм,1,French,Indo-European/Romance,,,0.88
абстракция,абстракция,1,French,Indo-European/Romance,,,0.88
аваль,аваль,1,French,Indo-European/Romance,,,0.88
авангард,авангард,1,French,Indo-European/Romance,,,0.88
аванпост,аванпост,1,French,Indo-European/Romance,,,0.88
аванс,аванс,1,French,Indo-European/Romance,,,0.88
авантюра,авантюра,1,French,Indo-European/Romance,,,0.88
авантюрист,авантюрист,1,French,Indo-European/Romance,,,0.88
аверс,аверс,1,French,Indo-European/Romance,,,0.88
авиация,авиация,1,French,Indo-European/Romance,,,0.88
авиньон,авиньон,1,French,Indo-European/Romance,,,0.88
автоматизм,автоматизм,1,French,Indo-European/Romance,,,0.88
автомобилист,автомобилист,1,French,Indo-European/Romance,,,0.88
автомобиль,автомобиль,1,French,Indo-European/Romance,,,0.88
автопортрет,автопортрет,1,French,Indo-European/Romance,,,0.88
авторитаризм,авторитаризм,1,French,Indo-European/Romance,,,0.88
авуары,авуары,1,French,Indo-European/Romance,,,0.88
агат,агат,1,French,Indo-European/Romance,,,0.88
агрегат,агрегат,1,French,Indo-European/Romance,,,0.88
агрессивный,агрессивный,1,French,Indo-European/Romance,,,0.88
агрессия,агрессия,1,French,Indo-European/Romance,,,0.88
агути,агути,1,French,Indo-European/Romance,,,0.88
адажио,адажио,1,French,Indo-European/Romance,,,0.88
адепт,адепт,1,French,Indo-European/Romance,,,0.88
адрес,адрес,1,French,Indo-European/Romance,,,0.88
адсорбировать,адсорбировать,1,French,Indo-European/Romance,,,0.88
адьё,адьё,1,French,Indo-European/Romance,,,0.88
адюльтер,адюльтер,1,French,Indo-European/Romance,,,0.88
-аж,-аж,1,French,Indo-European/Romance,,,0.88
ажан,ажан,1,French,Indo-European/Romance,,,0.88
ажио,ажио,1,French,Indo-European/Romance,,,0.88
ажиотаж,ажиотаж,1,French,Indo-European/Romance,,,0.88
ажитация,ажитация,1,French,Indo-European/Romance,,,0.88
азарт,азарт,1,French,Indo-European/Romance,,,0.88
азнавур,азнавура,1,French,Indo-European/Romance,,,0.88
азот,азот,1,French,Indo-European/Romance,,,0.88
аи,аи,1,French,Indo-European/Romance,,,0.88
акварель,акварель,1,French,Indo-European/Romance,,,0.88
аккорд,аккорд,1,French,Indo-European/Romance,,,0.88
аккордеон,аккордеон,1,French,Indo-European/Romance,,,0.88
аккредитовать,аккредитовать,1,French,Indo-European/Romance,,,0.88
актёр,актёр,1,French,Indo-European/Romance,,,0.88
актриса,актриса,1,French,Indo-European/Romance,,,0.88
акушер,акушер,1,French,Indo-European/Romance,,,0.88
акцентуация,акцентуация,1,French,Indo-European/Romance,,,0.88
акциз,акциз,1,French,Indo-European/Romance,,,0.88
акционер,акционер,1,French,Indo-European/Romance,,,0.88
алеппо,алеппо,1,French,Indo-European/Romance,,,0.88
аллонж,аллонж,1,French,Indo-European/Romance,,,0.88
аллюр,аллюр,1,French,Indo-European/Romance,,,0.88
альбатрос,альбатрос,1,French,Indo-European/Romance,,,0.88
альбинос,альбинос,1,French,Indo-European/Romance,,,0.88
альков,альков,1,French,Indo-European/Romance,,,0.88
альпага,альпага,1,French,Indo-European/Romance,,,0.88
альпинизм,альпинизм,1,French,Indo-European/Romance,,,0.88
альтруизм,альтруизм,1,French,Indo-European/Romance,,,0.88
альфонс,альфонс,1,French,Indo-European/Romance,,,0.88
альянс,альянс,1,French,Indo-European/Romance,,,0.88
амбразура,амбразура,1,French,Indo-European/Romance,,,0.88
амбре,амбре,1,French,Indo-European/Romance,,,0.88
амбушюр,амбушюр,1,French,Indo-European/Romance,,,0.88
аминокислота,аминокислота,1,French,Indo-European/Romance,,,0.88
аморализм,аморализм,1,French,Indo-European/Romance,,,0.88
аморальный,аморальный,1,French,Indo-European/Romance,,,0.88
амортизатор,амортизатор,1,French,Indo-European/Romance,,,0.88
амортизация,амортизация,1,French,Indo-European/Romance,,,0.88
ампер,ампер,1,French,Indo-European/Romance,,,0.88
ампер-час,ампер-час,1,French,Indo-European/Romance,,,0.88
ампир,ампир,1,French,Indo-European/Romance,,,0.88
амплуа,амплуа,1,French,Indo-European/Romance,,,0.88
амур,амур,1,French,Indo-European/Romance,,,0.88
амьен,амьен,1,French,Indo-European/Romance,,,0.88
анархист,анархист,1,French,Indo-European/Romance,,,0.88
анархический,анархический,1,French,Indo-European/Romance,,,0.88
ангажировать,ангажировать,1,French,Indo-European/Romance,,,0.88
ангар,ангар,1,French,Indo-European/Romance,,,0.88
анекдот,анекдот,1,French,Indo-European/Romance,,,0.88
анжамбеман,анжамбеман,1,French,Indo-European/Romance,,,0.88
анкета,анкета,1,French,Indo-European/Romance,,,0.88
аннексия,аннексия,1,French,Indo-European/Romance,,,0.88
аннигиляция,аннигиляция,1,French,Indo-European/Romance,,,0.88
анолис,анолис,1,French,Indo-European/Romance,,,0.88
анонс,анонс,1,French,Indo-European/Romance,,,0.88
анонсировать,анонсировать,1,French,Indo-European/Romance,,,0.88
антилопа,антилопа,1,French,Indo-European/Romance,,,0.88
антинародный,антинародный,1,French,Indo-European/Romance,,,0.88
антиобщественный,антиобщественный,1,French,Indo-European/Romance,,,0.88
антитело,антитело,1,French,Indo-European/Romance,,,0.88
антитеррористический,антитеррористический,1,French,Indo-European/Romance,,,0.88
антраша,антраша,1,French,Indo-European/Romance,,,0.88
антреприза,антреприза,1,French,Indo-European/Romance,,,0.88
антресоль,антресоль,1,French,Indo-European/Romance,,,0.88
антураж,антураж,1,French,Indo-European/Romance,,,0.88
анфас,анфас,1,French,Indo-European/Romance,,,0.88
анфилада,анфилада,1,French,Indo-European/Romance,,,0.88
апартамент,апартамент,1,French,Indo-European/Romance,,,0.88
апатрид,апатрид,1,French,Indo-European/Romance,,,0.88
апельсин,апельсин,1,French,Indo-European/Romance,,,0.88
аперитив,аперитив,1,French,Indo-European/Romance,,,0.88
аплодировать,аплодировать,1,French,Indo-European/Romance,,,0.88
аплодисменты,аплодисменты,1,French,Indo-European/Romance,,,0.88
апломб,апломб,1,French,Indo-European/Romance,,,0.88
аполитичный,аполитичный,1,French,Indo-European/Romance,,,0.88
апостиль,апостиль,1,French,Indo-European/Romance,,,0.88
апостроф,апостроф,1,French,Indo-European/Romance,,,0.88
араб,араб,1,French,Indo-European/Romance,,,0.88
арабеск,арабеск,1,French,Indo-European/Romance,,,0.88
арбалет,арбалет,1,French,Indo-European/Romance,,,0.88
арбитр,арбитр,1,French,Indo-European/Romance,,,0.88
арбитраж,арбитраж,1,French,Indo-European/Romance,,,0.88
арго,арго,1,French,Indo-European/Romance,,,0.88
